tab,comptable,operation,valeur,code,libelle,bank,date,year,month,group,var,value
5,02/01/2012,02/01/2012,02/01/2012,305,VIR CAISSE REGIONALE D ASSUR,cmcc,2012-01-02,2012,1,secu,credit,604.67
5,02/01/2012,01/01/2012,01/01/2012,350,VIR MME PIASNY LOYER,cmcc,2012-01-02,2012,1,loyer,credit,430
5,02/01/2012,02/01/2012,02/01/2012,305,VIR REUNICA,cmcc,2012-01-02,2012,1,pension,credit,75.45
5,Solde CRÉDITEUR au 02/01/2012 :,,,,Solde CRÉDITEUR au 02/01/2012 :,cmcc,2012-01-02,2012,1,solde,credit,11042.25
5,03/01/2012,03/01/2012,03/01/2012,350,VIR M NICOLAS ROHR,cmcc,2012-01-03,2012,1,loyer,credit,320
5,06/01/2012,06/01/2012,06/01/2012,350,VIR MLE ELODIE SALZEMANN,cmcc,2012-01-06,2012,1,libe,debit,-100
5,06/01/2012,06/01/2012,06/01/2012,350,VIR M TIMOTHEE SALZEMANN,cmcc,2012-01-06,2012,1,libe,debit,-150
5,09/01/2012,09/01/2012,09/01/2012,305,VIR RSI ALSACE,cmcc,2012-01-09,2012,1,pension,credit,109.85
5,09/01/2012,09/01/2012,09/01/2012,305,VIR RSI ALSACE,cmcc,2012-01-09,2012,1,pension,credit,365.15
5,10/01/2012,10/01/2012,16/01/2012,2,VIR M THEO WABEALO,cmcc,2012-01-10,2012,1,libe,debit,-60
5,10/01/2012,10/01/2012,16/01/2012,2,VIR M HUGO WABEALO,cmcc,2012-01-10,2012,1,libe,debit,-60
5,10/01/2012,10/01/2012,10/01/2012,210,RET 100112 REF01896B00,cmcc,2012-01-10,2012,1,cash,debit,-950
5,11/01/2012,11/01/2012,11/01/2012,240,CHEQUE 0438695 T005-6124-00111,cmcc,2012-01-11,2012,1,chq-vir,debit,-218.1
5,11/01/2012,11/01/2012,11/01/2012,305,VIR M OU MME FRANCK MEHL,cmcc,2012-01-11,2012,1,loyer,credit,425
5,12/01/2012,12/01/2012,12/01/2012,305,VIR LA PREV. ARTISANALE (RC),cmcc,2012-01-12,2012,1,secu,credit,160
5,12/01/2012,12/01/2012,12/01/2012,240,CHEQUE 0438700 S046-4473-00111,cmcc,2012-01-12,2012,1,chq-vir,debit,-160
5,16/01/2012,15/01/2012,15/01/2012,350,VIR MISSION LEPRE,cmcc,2012-01-16,2012,1,libe,debit,-100
5,19/01/2012,19/01/2012,19/01/2012,305,VIR LA PREV. ARTISANALE (RC),cmcc,2012-01-19,2012,1,secu,credit,30
5,24/01/2012,24/01/2012,24/01/2012,240,CHEQUE 0438698 A053-8261-00111,cmcc,2012-01-24,2012,1,chq-vir,debit,-37.69
5,26/01/2012,26/01/2012,26/01/2012,240,CHEQUE 0438699 T071-4319-00111,cmcc,2012-01-26,2012,1,chq-vir,debit,-300
5,31/01/2012,31/01/2012,31/01/2012,305,VIR CPAM DU BAS-RHIN - STRAS,cmcc,2012-01-31,2012,1,secu,credit,30
5,31/01/2012,31/01/2012,31/01/2012,305,VIR CAISSE REGIONALE D ASSUR,cmcc,2012-01-31,2012,1,secu,credit,604.67
5,01/02/2012,01/02/2012,01/02/2012,350,VIR MME PIASNY LOYER,cmcc,2012-02-01,2012,2,loyer,credit,430
5,03/02/2012,03/02/2012,03/02/2012,210,RET 030212 REF01896B00,cmcc,2012-02-03,2012,2,cash,debit,-400
5,03/02/2012,02/02/2012,02/02/2012,840,DROITS DE GARDE,cmcc,2012-02-03,2012,2,charges,debit,-7.63
5,03/02/2012,03/02/2012,03/02/2012,365,TIP IMPOT CEL,cmcc,2012-02-03,2012,2,taxe,debit,-775
5,06/02/2012,06/02/2012,06/02/2012,350,VIR MLE ELODIE SALZEMANN,cmcc,2012-02-06,2012,2,libe,debit,-100
5,06/02/2012,06/02/2012,06/02/2012,350,VIR M TIMOTHEE SALZEMANN,cmcc,2012-02-06,2012,2,libe,debit,-150
